CARD NAME,COUNT,CARD TYPE,power,COST,VICTORY POINTS,IMAGE LINK,STATUS,,135
CHARLIE,0,PLAYABLE,the first time each turn you retrieve<br> a card from a discard pile;<br> you may retrieve another cost (3) OR less,0,0,charlie.jpg,,,
MAC,0,PLAYABLE,your start the game with two kicks <br>on this card. you may use them<br> after the first time your deck runs out; <br>one at a time.,0,0,mac.jpg,,,
DEE,0,PLAYABLE,start the game with three defense tokens.<br> when an attack lands on a turn that<br> you also defended; gain a vp.,0,0,dee.jpg,,,
FRANK,0,PLAYABLE,alternate between: <br>plus 1 power on your turn or<br> discard a card and chose a foe - you both draw a card,0,0,frank.jpg,,,
CRICKET,0,PLAYABLE,start the game with a token that<br> double your classy cards power. <br>and a token that doubles your trashy cards power.,0,0,cricketplayable.jpg,,,
DAY MAN,0,PLAYABLE,kicks have three power for you<br> because you are a master of karate,0,0,dayman.jpg,,,
ARTEMIS,0,PLAYABLE,you may destroy a card in your hand every other turn.,0,0,artemis.png,,,
CRACK ADDICTION,1,TRASHY,Attack: give this card to a foe as an ongoing.<br> While they have it they discard two cards every turn<br>  then draw one.<br>this lasts until they can defend OR destroy it.,2,0,crackaddiction.jpg,,,
DUMPSTER BABY,1,TRASHY,1 power. Attack: chose a foe to gain a morals.<br> add this card to their hand. <brThey cannot attack you with it next turn.<br>If you destroy this card in the lineup; gain it.,1,2,dumpsterbaby.jpg,,,
MAC'S FAMOUS MAC (N CHEESE),1,CLASSY,1 power. If you destroy this card gain<br>+2 power and a defense token.,3,1,macsmac.jpg,,,
READING LESSONS,2,CLASSY,When you buy this you may destroy two cards<br>in your hand or discard pile.<br>When you play this card<br> you may destroy it.,1,0,readinglessons.jpg,,,
THE IRS,1,ENEMY,final boss: first appearance: immune.<br>every other turn attack: discard a location<br>or ongoing effect. the player who buys <br>this card chooses a foe who must destroy <br>three cards at random from their deck.,12,6,theirs.png,,,
MONSTER CONDOM,1,CLASSY,Defense: you may destroy a starter in your hand to avoid an attack.<br> +1 power for each equipment you play.,4,1,monstercondom.jpg,,,
INFLATABLE TUBE MAN,1,EQUIPMENT,You may destroy a punch in your hand.<br>If you do you maydestroy a card in your discard pile.<br> or 1 power.,2,1,tubeman.jpg,,,
ABORTION GIRL,1,CLASSY,Defense: discard this to avoid an attack.<br>Draw a card for each weakness or<br> vulnerabilty you play this turn.,2,1,abortiongirl.png,,,
MAC'S MOM,1,TRASHY,2 power. <br> Attack: if you discard 1 card then foes must discard 1 card.,4,1,macsmom.jpg,,,
THE BOAT,1,LOCATION,You may destroy a card in your hand OR<br>Discard a card and gain a defense token.,5,1,theboat.jpg,,,
MAGNUM DONG,2,EQUIPMENT,1 power for each trashy card you play this turn.<br>If you play no trashy cards you may double the<br> power of a classy card in your hand.,4,1,magnumdong.jpg,,,
CHARLIE'S MOM,1,CLASSY,2 power. You may treat a trashy card in your hand as classy.<br> Destroy a starter in your discard pile.,4,1,charliesmom.jpg,,,
MAUREEN PONDEROSA,1,ENEMY,First appearance: all players without starters in their hand<br> must gain a starter from the destroyed pile.<br> You may play all locations OR ongoing effects this turn.,9,4,maureenponderosa.png,,,
CHARLIE WORK,1,TRASHY,1 power for each equipment you play this turn.<br>OR Destroy a card in your discard pile.,2,1,charliework.jpg,,,
WILDCARD,1,SPECIAL,First appearance: all players may destroy a card<br>in their hand. Then they must discard a card to the lineup.<br>2 power for each special card played this turn. Including this one.<br>Shuffle this card into the kicks when starting game.,6,2,wildcardbitches.jpg,,,
SOCIOPATHY,1,SPECIAL,Chose a player. Attack: all other players gain a weakness. <br>Attack: the player you spared gives you a card from hand.,5,1,sociopathy.jpg,,,
EXPENSIVE HOOR,1,CLASSY,3 power. <br>Defense: you may discard this to defend against an attack. If you do;<br>you may buy a card in the lineup NOW.<br>Do not replace your hand after.,6,2,expensivehoor.png,,,
UNDER THE BOARDWALK,1,LOCATION,Every time you receive two zero-cost cards<br>on the same turn you may destroy one,5,1,undertheboardwalk.jpg,,,
ART COLLECTOR,1,SPECIAL,1 power. This card is worth 1 vp for<br>every 4 cards in your deck after the first 25.,4,star,artcollector.jpg,,,
MODEL CONTEST,1,CLASSY,2 power. <br>This card is worth 6 VP if you have fewer than 20 cards.<br>This card is worth 11 vp if you have fewer than 15.,6,star,modelcontest.jpg,,,
BAR HOPPING,2,CLASSY,Destroy a card in your hand or discard pile.<br>Gain power equal to half its cost (round down),3,1,barhopping.jpg,,,
CHEAP HOOR,1,TRASHY,2 power. If you destroy this card gain 2<br>defense tokens.,4,1,cheaphoor.jpg,,,
,,,,,,,,,
,,,,,,,,,
YELL,,STARTER,,,,,,,
KARATE,,SPECIAL,,,,,,,
EMPTY BAR,,STARTER,,,,,,,
MORALS,,SPECIAL,,,,,,,
